Customer ID,Married,age_gen,Offer,Churn Category,Churn Reason,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0325-XBFAC,No,Generation X,,Competitor,Competitor offered more data,19.49,10.0,94.7,740.3,0.0,80,155.92,976.22
0328-GRPMV,No,Generation X,,Competitor,Competitor had better devices,17.37,25.0,70.1,70.1,0.0,0,17.37,87.47
0329-GTIAJ,No,Millennials,,Price,Price too high,30.18,7.0,97.9,315.3,0.0,0,90.54,405.84
0330-IVZHA,Yes,Generation X,Offer E,Attitude,Attitude of service provider,17.08,10.0,69.95,330.15,0.0,0,85.4,415.55
0334-GDDSO,No,Baby boomers,Offer E,Competitor,Competitor made better offer,9.22,14.0,81.35,233.7,0.0,0,27.66,261.36
0337-CNPZE,No,Baby boomers,,Price,Price too high,10.43,22.0,106.3,4443.45,0.0,130,427.63,5001.08
0345-HKJVM,No,Generation X,,Other,Don't know,2.6,22.0,89.3,577.6,0.0,0,15.6,593.2
0348-SDKOL,Yes,Millennials,,Competitor,Competitor made better offer,3.51,28.0,102.1,5885.4,0.0,100,203.58,6188.98
0354-WYROK,Yes,Baby boomers,Offer C,Other,Don't know,47.95,21.0,98.9,2911.3,0.0,0,1486.45,4397.75
0362-ZBZWJ,No,Generation X,,Attitude,Attitude of service provider,24.66,22.0,84.9,3067.2,0.0,0,887.76,3954.96
0363-QJVFX,No,Generation Z,Offer C,Attitude,Attitude of service provider,27.69,73.0,108.15,3432.9,0.0,0,886.08,4318.98
0375-HVGXO,No,Millennials,Offer E,Other,Don't know,,8.0,34.7,34.7,0.0,0,0.0,34.7
0376-YMCJC,No,Generation Z,,Competitor,Competitor offered higher download speeds,38.69,69.0,90.6,1943.2,4.73,0,889.87,2828.34
0378-NHQXU,Yes,Millennials,,Other,Deceased,17.91,9.0,88.25,1460.65,0.0,0,304.47,1765.12
0378-TOVMS,No,Generation Z,,Competitor,Competitor had better devices,10.6,73.0,85.8,272.2,0.0,0,31.8,304.0
0378-XSZPU,Yes,Millennials,Offer B,Dissatisfaction,Network reliability,17.22,21.0,60.3,3563.8,0.0,0,998.76,4562.56
0388-EOPEX,Yes,Millennials,,Attitude,Attitude of support person,9.79,41.0,74.4,139.4,0.0,0,19.58,158.98
0390-DCFDQ,Yes,Baby boomers,Offer E,Other,Don't know,15.28,30.0,70.45,70.45,0.0,0,15.28,85.73
0397-GZBBC,Yes,Baby boomers,,Price,Price too high,10.78,15.0,93.85,5574.75,8.13,0,636.02,6202.64
0402-CQAJN,No,Generation Z,,Dissatisfaction,Lack of self-service on Website,24.04,59.0,101.9,3545.35,0.0,0,889.48,4434.83
0404-SWRVG,No,Generation Z,Offer E,Dissatisfaction,Product dissatisfaction,14.6,71.0,74.4,229.55,8.74,0,43.8,264.61
0406-BPDVR,Yes,Baby boomers,Offer B,Price,Lack of affordable download/upload speed,33.49,8.0,101.5,5373.1,0.0,0,1808.46,7181.56
0407-BDJKB,Yes,Baby boomers,,Dissatisfaction,Service dissatisfaction,35.22,16.0,95.75,5742.9,0.0,0,2113.2,7856.1
0415-MOSGF,No,Generation X,Offer E,Attitude,Attitude of support person,26.53,30.0,44.4,44.4,0.0,0,26.53,70.93
0420-BWTPW,No,Millennials,,Attitude,Attitude of support person,,16.0,25.5,215.2,0.0,0,0.0,215.2
0426-TIRNE,No,Generation X,Offer E,Dissatisfaction,Limited range of services,15.51,,20.9,20.9,0.0,0,15.51,36.41
0431-APWVY,Yes,Millennials,,Dissatisfaction,Poor expertise of online support,18.31,13.0,90.1,2598.95,0.0,0,512.68,3111.63
0447-BEMNG,Yes,Millennials,,Price,Price too high,,58.0,45.3,2145.0,0.0,140,0.0,2285.0
0461-CVKMU,Yes,Generation X,,Attitude,Attitude of support person,38.81,28.0,83.8,1900.25,0.0,0,892.63,2792.88
0471-LVHGK,Yes,Millennials,,Competitor,Competitor offered higher download speeds,15.91,29.0,73.0,3001.2,0.0,0,652.31,3653.51
0475-RIJEP,No,Generation X,Offer B,Price,Lack of affordable download/upload speed,49.13,25.0,77.85,3365.85,0.0,0,2112.59,5478.44
0486-HECZI,Yes,Millennials,,Price,Long distance charges,49.06,27.0,96.75,5238.9,0.0,0,2698.3,7937.2
0488-GSLFR,No,Millennials,,Dissatisfaction,Product dissatisfaction,8.31,27.0,69.5,69.5,0.0,0,8.31,77.81
0495-RVCBF,No,Millennials,,Dissatisfaction,Poor expertise of online support,33.88,26.0,79.7,79.7,0.0,0,33.88,113.58
0495-ZBNGW,Yes,Silent generation,,Competitor,Competitor offered more data,6.66,14.0,-1.0,343.95,0.0,20,33.3,397.25
0504-HHAPI,No,Baby boomers,,Other,Don't know,16.94,11.0,88.3,2467.75,0.0,0,457.38,2925.13
0506-LVNGN,No,Silent generation,,Competitor,Competitor had better devices,42.33,9.0,75.55,349.65,0.0,0,211.65,561.3
0511-JTEOY,No,Millennials,Offer E,Competitor,Competitor made better offer,10.19,9.0,71.1,71.1,0.0,0,10.19,81.29
0515-YPMCW,No,Millennials,,Competitor,Competitor had better devices,42.87,8.0,70.45,70.45,0.0,10,42.87,123.32
0516-VRYBW,No,Millennials,Offer D,Attitude,Attitude of support person,8.95,,20.15,390.85,0.0,0,161.1,551.95
0516-WJVXC,No,Generation Z,,Dissatisfaction,Network reliability,3.61,69.0,54.2,308.25,0.0,0,18.05,326.3
0519-XUZJU,No,Generation X,,Dissatisfaction,Service dissatisfaction,26.0,8.0,70.75,70.75,0.0,0,26.0,96.75
0520-FDVVT,No,Generation Z,,Price,Price too high,39.84,48.0,102.35,3626.1,0.0,0,1394.4,5020.5
0524-IAVZO,Yes,Generation Z,Offer C,Other,Don't know,4.82,41.0,85.0,2624.25,0.0,0,144.6,2768.85
0529-ONKER,No,Baby boomers,Offer D,Attitude,Attitude of support person,46.38,19.0,75.65,1146.65,0.0,0,695.7,1842.35
0533-BNWKF,Yes,Baby boomers,Offer B,Competitor,Competitor made better offer,42.82,27.0,85.45,4874.7,0.0,90,2355.1,7319.8
0564-JJHGS,No,Generation X,,Dissatisfaction,Limited range of services,19.22,10.0,95.5,829.1,0.0,0,172.98,1002.08
0565-IYCGT,No,Generation X,Offer A,Competitor,Competitor made better offer,29.38,9.0,78.6,5356.45,0.0,0,2027.22,7383.67
0568-ONFPC,Yes,Millennials,Offer E,Other,Moved,40.05,,25.9,135.0,0.0,0,200.25,335.25
0576-WNXXC,Yes,Baby boomers,,Dissatisfaction,Service dissatisfaction,39.49,7.0,95.55,2510.2,0.0,0,1066.23,3576.43
0578-SKVMF,Yes,Generation Z,,Competitor,Competitor had better devices,4.01,53.0,83.3,1845.9,0.0,0,88.22,1934.12
0587-DMGBH,No,Generation X,,Competitor,Competitor offered higher download speeds,37.79,25.0,49.85,365.55,13.01,10,302.32,664.86
0596-BQCEQ,Yes,Millennials,,Competitor,Competitor had better devices,48.58,13.0,100.15,6283.3,0.0,0,3011.96,9295.26
0601-WZHJF,Yes,Generation X,Offer D,Attitude,Attitude of service provider,,12.0,46.35,667.7,0.0,0,0.0,667.7
0607-DAAHE,No,Baby boomers,Offer B,Price,Long distance charges,26.21,,19.75,1052.35,0.0,0,1389.13,2441.48
0611-DFXKO,Yes,Millennials,Offer D,Dissatisfaction,Service dissatisfaction,18.05,5.0,89.0,1820.45,0.0,0,361.0,2181.45
0612-RTZZA,No,Baby boomers,Offer E,Price,Price too high,,15.0,25.25,25.25,0.0,0,0.0,25.25
0616-ATFGB,Yes,Baby boomers,Offer E,Competitor,Competitor had better devices,,18.0,25.05,25.05,0.0,0,0.0,25.05
0617-AQNWT,Yes,Baby boomers,,Competitor,Competitor made better offer,,27.0,47.85,3147.5,0.0,0,0.0,3147.5
0617-FHSGK,No,Baby boomers,,Price,Extra data charges,19.08,24.0,75.2,3678.3,0.0,20,934.92,4633.22
0618-XWMSS,No,Baby boomers,Offer C,Price,Long distance charges,44.28,5.0,74.9,2068.55,0.0,0,1239.84,3308.39
0621-TWIEM,No,Millennials,Offer D,Attitude,Attitude of support person,34.44,69.0,45.55,402.6,0.0,0,344.4,747.0
0623-IIHUG,No,Baby boomers,,Competitor,Competitor made better offer,,8.0,-10.0,840.1,0.0,0,0.0,840.1
0628-CNQRM,Yes,Generation X,,Other,Don't know,19.8,17.0,67.5,1544.05,0.0,0,435.6,1979.65
0634-SZPQA,No,Baby boomers,,Competitor,Competitor offered higher download speeds,3.55,4.0,90.05,2169.8,27.38,0,81.65,2224.07
0637-KVDLV,No,Millennials,Offer E,Other,Don't know,17.22,30.0,76.5,162.45,0.0,0,34.44,196.89
0637-UBJRP,Yes,Millennials,Offer D,Competitor,Competitor offered higher download speeds,29.92,21.0,84.05,1095.3,23.97,0,388.96,1460.29
0637-YLETY,No,Millennials,Offer D,Attitude,Attitude of service provider,18.99,30.0,95.6,1555.65,0.0,0,303.84,1859.49
0639-TSIQW,No,Millennials,Offer A,Competitor,Competitor offered more data,37.5,30.0,102.95,6886.25,0.0,0,2512.5,9398.75
0643-OKLRP,Yes,Baby boomers,,Dissatisfaction,Network reliability,38.31,7.0,80.35,3825.85,0.0,90,1800.57,5716.42
0654-HMSHN,Yes,Generation X,Offer D,Attitude,Attitude of support person,42.65,3.0,104.4,2157.95,0.0,0,895.65,3053.6
0655-RBDUG,No,Millennials,Offer E,Competitor,Competitor had better devices,9.25,29.0,98.05,713.0,0.0,0,64.75,777.75
0661-XEYAN,No,Baby boomers,,Competitor,Competitor had better devices,,26.0,25.8,25.8,0.0,20,0.0,45.8
0679-IDSTG,Yes,Baby boomers,,Competitor,Competitor had better devices,37.3,8.0,69.25,69.25,0.0,0,37.3,106.55
0680-DFNNY,Yes,Baby boomers,,Competitor,Competitor offered more data,40.7,29.0,101.1,1504.05,0.0,0,610.5,2114.55
0684-AOSIH,Yes,Millennials,,Dissatisfaction,Network reliability,12.04,5.0,95.0,95.0,0.0,0,12.04,107.04
0685-MLYYM,No,Baby boomers,Offer E,Price,Long distance charges,9.86,21.0,70.75,154.85,0.0,0,19.72,174.57
0687-ZVTHB,Yes,Generation Z,Offer B,Competitor,Competitor offered more data,26.75,51.0,72.45,4653.85,14.23,0,1738.75,6378.37
0689-NKYLF,No,Millennials,Offer D,Attitude,Attitude of support person,35.4,18.0,83.2,1060.6,0.0,0,460.2,1520.8
0691-IFBQW,No,Baby boomers,,Competitor,Competitor made better offer,2.37,20.0,110.0,4874.8,0.0,0,109.02,4983.82
0691-JVSYA,Yes,Generation Z,,Competitor,Competitor had better devices,40.62,73.0,94.85,5000.2,18.55,0,2152.86,7134.51
0697-ZMSWS,No,Generation Z,,Dissatisfaction,Limited range of services,6.91,53.0,85.65,338.9,0.0,0,27.64,366.54
0702-PGIBZ,No,Millennials,Offer E,Competitor,Competitor made better offer,26.16,85.0,101.7,364.55,1.48,0,104.64,467.71
0709-TVGUR,No,Baby boomers,,Competitor,Competitor had better devices,17.56,27.0,74.55,622.9,33.25,0,158.04,747.69
0719-SYFRB,No,Generation X,Offer D,Competitor,Competitor offered higher download speeds,36.24,30.0,61.65,713.75,0.0,0,434.88,1148.63
0722-TROQR,No,Baby boomers,,Price,Lack of affordable download/upload speed,26.23,29.0,74.9,321.75,0.0,0,104.92,426.67
0723-DRCLG,Yes,Baby boomers,,Other,Don't know,31.27,11.0,74.45,74.45,0.0,10,31.27,115.72
0727-BMPLR,No,Baby boomers,,Competitor,Competitor offered higher download speeds,37.38,7.0,100.0,5509.3,0.0,100,2055.9,7665.2
0727-IWKVK,Yes,Millennials,Offer E,Price,Extra data charges,19.18,27.0,79.9,741.7,0.0,0,172.62,914.32
0733-VUNUW,No,Generation X,,Competitor,Competitor had better devices,8.99,5.0,55.65,1400.55,0.0,60,215.76,1676.31
0742-MOABM,Yes,Generation X,,Competitor,Competitor made better offer,9.67,22.0,50.05,179.35,0.0,0,38.68,218.03
0742-NXBGR,No,Baby boomers,Offer E,Competitor,Competitor had better devices,33.41,28.0,82.3,82.3,0.0,0,33.41,115.71
0746-JTRFU,No,Generation Z,Offer E,Dissatisfaction,Product dissatisfaction,,73.0,25.05,56.35,0.0,0,0.0,56.35
0748-RDGGM,Yes,Millennials,,Price,Long distance charges,39.63,26.0,109.5,7534.65,0.0,0,2774.1,10308.75
0754-UKWQP,No,Baby boomers,,Competitor,Competitor had better devices,37.43,18.0,95.85,197.7,0.0,0,74.86,272.56
0761-AETCS,No,Generation X,Offer E,Attitude,Attitude of support person,25.62,,19.3,19.3,0.0,0,25.62,44.92
0772-GYEQQ,No,Millennials,Offer E,Competitor,Competitor offered more data,49.4,10.0,88.35,262.05,0.0,0,148.2,410.25
0778-NELLA,No,Generation X,,Competitor,Competitor offered higher download speeds,,9.0,34.7,296.1,0.0,0,0.0,296.1
0781-LKXBR,No,Baby boomers,,Competitor,Competitor had better devices,48.71,15.0,100.5,918.6,0.0,0,438.39,1356.99
0786-VSSUD,No,Baby boomers,,Competitor,Competitor had better devices,,24.0,39.0,679.85,0.0,0,0.0,679.85
0807-ZABDG,No,Generation X,Offer E,Competitor,Competitor offered higher download speeds,26.04,16.0,55.1,154.65,0.0,0,78.12,232.77
0812-WUPTB,Yes,Baby boomers,Offer E,Price,Long distance charges,49.6,13.0,70.85,70.85,0.0,0,49.6,120.45
0818-OCPZO,No,Silent generation,,Competitor,Competitor offered more data,42.91,5.0,81.45,2122.05,0.0,0,1158.57,3280.62
0822-GAVAP,No,Generation Z,Offer E,Competitor,Competitor made better offer,,76.0,34.7,62.25,0.0,0,0.0,62.25
0823-HSCDJ,No,Baby boomers,,Competitor,Competitor made better offer,,18.0,49.15,2550.9,0.0,30,0.0,2580.9
0836-SEYLU,Yes,Baby boomers,Offer E,Competitor,Competitor had better devices,,26.0,40.65,328.95,0.0,0,0.0,328.95
0841-NULXI,No,Millennials,,Other,Don't know,,26.0,35.55,35.55,0.0,0,0.0,35.55
0843-WTBXE,No,Millennials,,Other,Don't know,16.43,29.0,85.45,4517.25,0.0,0,870.79,5388.04
0866-QLSIR,No,Generation X,Offer C,Attitude,Attitude of support person,34.41,4.0,64.4,2088.75,0.0,0,1169.94,3258.69
0867-MKZVY,Yes,Generation Z,,Price,Price too high,36.6,51.0,82.4,1592.35,33.43,0,732.0,2290.92
0870-VEMYL,No,Millennials,Offer E,Competitor,Competitor offered higher download speeds,24.32,22.0,53.85,259.8,22.96,10,121.6,368.44
0871-URUWO,Yes,Millennials,,Competitor,Competitor had better devices,30.55,28.0,102.25,1359.0,0.0,0,397.15,1756.15
0872-NXJYS,No,Millennials,,Competitor,Competitor offered more data,45.41,23.0,79.55,723.4,0.0,0,408.69,1132.09
0875-CABNR,No,Baby boomers,,Attitude,Attitude of support person,16.85,30.0,84.6,865.55,0.0,0,168.5,1034.05
0876-WDUUZ,No,Baby boomers,Offer E,Price,Long distance charges,43.51,17.0,85.4,425.9,0.0,0,217.55,643.45
0877-SDMBN,No,Generation Z,,Competitor,Competitor made better offer,43.47,82.0,103.95,5639.05,0.0,0,2347.38,7986.43
0880-TKATG,Yes,Generation Z,Offer E,Competitor,Competitor had better devices,9.56,48.0,101.15,385.9,0.0,0,38.24,424.14
0883-EIBTI,No,Generation Z,,Dissatisfaction,Limited range of services,28.02,,19.5,31.55,0.0,0,56.04,87.59
0886-QGENL,Yes,Baby boomers,,Attitude,Attitude of service provider,45.82,13.0,101.25,2754.45,0.0,0,1237.14,3991.59
0887-HJGAR,No,Generation X,Offer E,Competitor,Competitor offered higher download speeds,5.55,13.0,45.7,45.7,0.0,0,5.55,51.25
0895-DQHEW,Yes,Generation X,,Competitor,Competitor offered more data,35.46,23.0,104.3,5278.15,11.45,0,1914.84,7181.54
0897-FEGMU,Yes,Generation X,Offer D,Dissatisfaction,Network reliability,31.08,26.0,99.5,1056.95,0.0,0,341.88,1398.83
0917-EZOLA,Yes,Baby boomers,,Price,Extra data charges,6.03,2.0,104.15,7689.95,0.0,0,434.16,8124.11
0923-PNFUB,No,Generation X,Offer E,Attitude,Attitude of support person,46.36,4.0,83.75,247.25,0.0,0,139.08,386.33
0925-VYDLG,No,Millennials,,Attitude,Attitude of service provider,17.87,25.0,75.25,242.0,0.0,0,53.61,295.61
0927-LCSMG,No,Generation Z,Offer E,Competitor,Competitor offered more data,21.58,71.0,74.65,544.55,0.0,10,151.06,705.61
0939-YAPAF,No,Generation X,Offer C,Competitor,Competitor offered higher download speeds,10.49,17.0,100.25,3527.6,0.0,0,367.15,3894.75
0940-OUQEC,No,Generation X,Offer D,Competitor,Competitor offered more data,17.07,3.0,80.7,788.8,38.42,50,170.7,971.08
0946-CLJTI,Yes,Baby boomers,Offer B,Competitor,Competitor had better devices,3.18,5.0,98.7,5812.6,0.0,0,184.44,5997.04
0947-IDHRQ,No,Generation Z,,Competitor,Competitor made better offer,39.21,42.0,80.3,526.7,0.0,10,274.47,811.17
0947-MUGVO,Yes,Baby boomers,,Competitor,Competitor had better devices,5.37,24.0,73.65,1463.5,0.0,0,107.4,1570.9
0952-KMEEH,No,Generation X,,Price,Long distance charges,3.36,15.0,98.15,1230.25,0.0,40,43.68,1313.93
0963-ZBDRN,No,Generation X,,Attitude,Attitude of support person,25.21,26.0,96.2,3183.4,0.0,0,806.72,3990.12
0968-GSIKN,No,Generation Z,Offer E,Competitor,Competitor made better offer,30.6,27.0,70.8,70.8,0.0,0,30.6,101.4
0970-ETWGE,No,Millennials,Offer E,Competitor,Competitor had better devices,42.46,27.0,89.55,89.55,0.0,0,42.46,132.01
0979-PHULV,Yes,Millennials,Offer A,Competitor,Competitor made better offer,48.8,26.0,99.45,7007.6,0.0,0,3367.2,10374.8
0991-BRRFB,No,Millennials,,Other,Deceased,20.86,3.0,49.4,874.8,0.0,0,375.48,1250.28
1000-AJSLD,No,Generation Z,,Competitor,Competitor made better offer,4.11,,20.1,20.1,0.0,0,4.11,24.21
1009-IRMNA,No,Millennials,Offer E,Attitude,Attitude of support person,16.04,,20.0,137.6,0.0,0,112.28,249.88
1010-DIAUQ,No,Generation X,Offer E,Competitor,Competitor made better offer,20.86,8.0,96.5,492.55,0.0,0,104.3,596.85
1024-GUALD,Yes,Millennials,Offer E,Dissatisfaction,Product dissatisfaction,,29.0,-4.0,24.8,0.0,0,0.0,24.8
1024-VRZHF,Yes,Millennials,Offer D,Competitor,Competitor made better offer,21.58,30.0,-7.0,825.7,0.0,0,237.38,1063.08
1029-QFBEN,No,Millennials,,Competitor,Competitor made better offer,38.44,,19.55,19.55,0.0,0,38.44,57.99
1031-IIDEO,No,Generation X,Offer E,Dissatisfaction,Network reliability,27.05,23.0,70.85,70.85,0.0,0,27.05,97.9
1038-ZAGBI,Yes,Baby boomers,,Attitude,Attitude of support person,37.65,,19.8,229.6,0.0,0,451.8,681.4
1041-RXHRA,No,Generation Z,,Attitude,Attitude of support person,40.78,41.0,70.25,2868.05,0.0,0,1671.98,4540.03
1043-YCUTE,Yes,Generation Z,Offer B,Dissatisfaction,Service dissatisfaction,13.2,,25.15,1327.15,0.0,0,739.2,2066.35
1062-LHZOD,Yes,Generation X,,Competitor,Competitor made better offer,4.99,28.0,69.9,69.9,0.0,0,4.99,74.89
1066-JKSGK,No,Millennials,,Competitor,Competitor made better offer,33.58,,20.15,20.15,0.0,0,33.58,53.73
1069-XAIEM,No,Baby boomers,,Competitor,Competitor had better devices,16.37,7.0,85.05,85.05,0.0,0,16.37,101.42
1075-BGWOH,Yes,Baby boomers,,Attitude,Attitude of support person,15.16,7.0,98.75,1587.55,0.0,0,242.56,1830.11
1084-UQCHV,No,Millennials,Offer E,Attitude,Attitude of support person,27.97,18.0,-7.0,69.75,0.0,0,27.97,97.72
1086-LXKFY,Yes,Generation X,Offer E,Other,Don't know,16.55,19.0,69.1,69.1,0.0,0,16.55,85.65
1087-UDSIH,No,Millennials,Offer E,Attitude,Attitude of support person,13.28,,19.6,59.75,0.0,0,39.84,99.59
1092-GANHU,No,Baby boomers,,Competitor,Competitor offered more data,30.61,7.0,76.65,1313.55,0.0,0,520.37,1833.92
1095-JUDTC,No,Silent generation,,Competitor,Competitor offered higher download speeds,14.22,11.0,95.05,4504.55,0.0,0,668.34,5172.89
1112-CUNAO,No,Baby boomers,Offer D,Dissatisfaction,Service dissatisfaction,4.28,6.0,89.85,1424.95,0.0,0,64.2,1489.15
1113-IUJYX,Yes,Baby boomers,,Competitor,Competitor offered higher download speeds,5.63,23.0,105.95,1348.9,0.0,0,78.82,1427.72
