Customer ID,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Premium Tech Support,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0042-RLHYP,3,1,3,5,69,0,1,38.39,0,0,26.189958310676094,0,0,0,2,0,1,19.7,1396.9,0.0,0,2648.91,4045.81,1
0048-LUMLS,1,1,3,1,37,3,1,43.01,1,1,51.0,0,0,1,3,0,2,91.2,3247.55,0.0,0,1591.37,4838.92,1
0048-PIHNL,3,1,0,5,49,2,1,49.58,0,0,26.189958310676094,0,0,0,3,0,1,20.45,900.9,0.0,0,2429.42,3330.32,1
0052-DCKON,2,1,0,9,66,0,1,43.77,1,1,41.0,1,1,1,3,0,1,-2.0,7942.15,0.0,0,2888.82,10830.97,1
0052-YNYOT,2,0,0,0,67,0,1,23.12,0,0,26.189958310676094,0,0,0,3,0,1,20.55,1343.4,30.53,0,1549.04,2861.91,1
0056-EPFBG,2,1,1,4,20,0,0,25.420517214274486,1,3,22.0,1,1,1,2,1,2,39.4,825.4,0.0,0,0.0,825.4,1
0057-QBUQH,2,0,3,0,43,0,1,30.64,0,0,26.189958310676094,0,0,0,2,1,1,25.1,1070.15,0.0,0,1317.52,2387.67,1
0058-EVZWM,2,1,0,2,55,2,1,5.08,1,1,9.0,1,0,1,1,1,1,89.8,4959.6,0.0,0,279.4,5239.0,1
0060-FUALY,4,1,0,4,59,2,1,16.39,1,1,14.0,1,0,1,1,1,1,94.75,5597.65,0.0,0,967.01,6564.66,1
0064-SUDOG,3,1,3,3,12,0,1,19.28,0,0,26.189958310676094,0,0,0,2,0,1,20.3,224.5,0.0,0,231.36,455.86,1
0064-YIJGF,4,1,3,7,27,3,1,25.26,1,1,23.0,0,0,1,1,1,1,75.75,1929.0,0.0,0,682.02,2611.02,1
0067-DKWBL,4,0,0,0,2,0,1,43.99,1,2,27.0,1,0,1,1,1,1,49.25,91.1,0.0,0,87.98,179.08,0
0068-FIGTF,1,0,0,0,27,3,1,48.91,1,2,59.0,0,1,1,3,0,2,78.2,2078.95,0.0,0,1320.57,3399.52,1
0071-NDAFP,2,1,3,1,25,0,1,23.69,0,0,26.189958310676094,0,0,0,2,0,2,25.5,630.6,44.42,0,592.25,1178.43,1
0074-HDKDG,3,1,0,5,25,0,1,6.45,1,3,19.0,1,0,1,3,1,1,61.6,1611.0,44.9,0,161.25,1727.35,1
0076-LVEPS,3,0,1,0,29,0,0,25.420517214274486,1,2,21.0,1,1,1,1,1,2,45.0,1242.45,12.26,0,0.0,1230.19,1
0078-XZMHT,1,1,0,5,72,0,1,32.36,1,2,52.0,0,1,1,2,1,1,85.15,6316.2,0.0,0,2329.92,8646.12,1
0080-EMYVY,4,0,0,0,14,0,1,24.04,1,3,12.0,0,0,1,3,0,2,51.45,727.85,0.0,0,336.56,1064.41,1
0080-OROZO,2,0,0,0,35,3,1,36.42,1,1,2.0,0,1,1,3,1,1,99.25,3532.0,0.0,0,1274.7,4806.7,1
0082-LDZUE,3,0,0,0,1,5,1,42.95,1,2,9.0,0,0,1,1,1,2,44.3,44.3,0.0,0,42.95,87.25,2
0082-OQIQY,3,0,0,0,29,0,1,2.05,1,1,17.0,0,1,0,1,1,1,94.2,2607.6,0.0,20,59.45,2687.05,1
0083-PIVIK,1,0,0,0,64,0,1,5.49,1,2,69.0,1,1,0,3,0,1,81.25,5567.55,0.0,40,351.36,5958.91,1
0089-IIQKO,2,1,3,1,39,0,1,24.38,1,1,53.0,0,1,1,1,1,2,99.95,3767.4,0.0,0,950.82,4718.22,1
0093-EXYQL,4,0,0,0,40,0,1,44.14,1,1,23.0,0,0,1,2,1,1,91.55,3673.6,0.0,0,1765.6,5439.2,1
0093-XWZFY,3,0,0,0,40,0,1,37.69,1,1,15.0,0,0,1,1,1,2,104.5,4036.85,0.0,0,1507.6,5544.45,0
0094-OIFMO,5,0,1,0,11,4,1,11.59,1,1,29.0,0,0,0,1,1,1,95.0,1120.3,0.0,120,127.49,1367.79,0
0096-BXERS,2,1,0,10,6,5,1,42.66,1,3,85.0,0,0,1,1,0,1,50.35,314.55,0.0,0,255.96,570.51,1
0096-FCPUF,3,0,0,0,30,0,1,2.64,1,2,15.0,1,0,1,1,1,3,64.5,1888.45,0.0,0,79.2,1967.65,1
0098-BOWSO,1,0,0,0,27,0,1,20.66,0,0,26.189958310676094,0,0,0,1,1,1,19.4,529.8,0.0,0,557.82,1087.62,1
0100-DUVFC,4,1,0,3,70,0,1,39.49,1,1,28.0,0,0,1,3,1,1,104.8,7308.95,6.11,0,2764.3,10067.14,1
0103-CSITQ,1,1,0,10,57,2,1,8.01,1,1,73.0,0,1,1,3,1,1,109.4,6252.7,0.0,0,456.57,6709.27,1
0104-PPXDV,4,1,0,10,58,0,1,18.37,1,2,18.0,0,0,1,3,0,2,50.3,2878.55,10.23,0,1065.46,3933.78,1
0106-GHRQR,1,0,0,0,16,0,1,25.71,1,2,48.0,0,0,1,1,1,1,71.4,1212.1,0.0,0,411.36,1623.46,1
0106-UGRDO,3,1,0,3,69,1,1,38.52,1,1,27.0,1,1,1,2,1,1,116.0,8182.85,0.0,0,2657.88,10840.73,1
0107-WESLM,2,0,0,0,1,5,1,31.77,0,0,26.189958310676094,0,0,0,1,1,1,19.85,19.85,0.0,0,31.77,51.62,0
0107-YHINA,4,0,0,0,1,0,1,40.71,1,1,25.0,0,0,1,1,1,1,99.75,99.75,0.0,0,40.71,140.46,0
0111-KLBQG,4,1,1,9,32,3,1,31.86,1,1,23.0,0,0,1,3,1,3,93.95,2861.45,0.0,0,1019.52,3880.97,1
0112-QAWRZ,3,1,2,8,16,4,1,48.71,1,1,12.0,0,0,1,1,1,1,90.8,1442.2,0.0,0,779.36,2221.56,1
0112-QWPNC,4,1,0,1,49,2,1,39.55,1,3,10.0,1,1,1,3,0,1,84.35,4059.35,0.0,0,1937.95,5997.3,0
0114-IGABW,2,1,0,2,71,1,0,25.420517214274486,1,3,29.0,0,1,1,2,0,1,58.25,4145.9,0.0,0,0.0,4145.9,1
0114-PEGZZ,2,0,0,0,33,0,1,49.69,1,1,12.0,0,0,1,1,0,1,107.55,3645.5,0.0,0,1639.77,5285.27,1
0114-RSRRW,1,1,0,9,10,4,1,49.6,0,0,26.189958310676094,0,0,0,1,1,1,19.95,187.75,0.0,0,496.0,683.75,1
0115-TFERT,1,1,0,1,21,0,1,36.26,1,1,59.0,0,1,0,1,1,1,111.2,2317.1,0.0,120,761.46,3198.56,0
0117-LFRMW,3,1,1,1,37,0,0,25.420517214274486,1,2,23.0,1,0,1,1,0,1,40.2,1448.8,0.0,0,0.0,1448.8,0
0118-JPNOY,4,0,0,0,26,0,1,33.74,1,1,7.0,1,0,1,1,1,2,85.8,2193.65,0.0,0,877.24,3070.89,1
0121-SNYRK,3,0,0,0,50,2,0,25.420517214274486,1,2,7.0,1,1,1,3,1,2,35.4,1748.9,0.0,0,0.0,1748.9,1
0122-OAHPZ,2,0,0,0,7,0,1,28.62,1,1,26.0,0,0,1,1,1,1,73.85,511.25,13.03,0,200.34,698.56,0
0123-CRBRT,4,1,0,1,61,2,1,47.19,1,2,28.0,1,1,1,2,0,3,88.1,5526.75,0.0,0,2878.59,8405.34,1
0125-LZQXK,2,0,0,0,15,4,1,45.92,1,1,12.0,0,1,1,1,1,1,101.35,1553.95,0.0,0,688.8,2242.75,0
0128-MKWSG,3,0,2,0,26,0,0,25.420517214274486,1,2,19.0,1,1,1,1,0,2,45.8,1147.0,0.0,0,0.0,1147.0,1
0129-KPTWJ,2,1,0,9,72,0,1,33.22,1,1,23.0,0,0,1,1,1,1,94.65,6747.35,0.0,0,2391.84,9139.19,1
0129-QMPDR,4,1,0,1,44,0,1,27.4,0,0,26.189958310676094,0,0,0,3,1,1,20.5,865.05,0.0,0,1205.6,2070.65,1
0130-SXOUN,3,0,0,0,66,1,1,48.78,1,1,8.0,0,0,0,1,0,2,89.4,5976.9,36.02,40,3219.48,9200.36,1
0133-BMFZO,2,0,0,0,2,0,1,36.81,1,1,16.0,1,1,1,1,1,1,86.25,181.65,0.0,0,73.62,255.27,0
0134-XWXCE,4,0,0,0,44,0,1,7.72,1,2,17.0,0,1,1,3,0,1,74.85,3268.05,17.91,0,339.68,3589.82,1
0135-NMXAP,3,0,0,0,12,4,1,14.38,1,1,6.0,0,0,1,1,1,1,89.75,1052.4,0.0,0,172.56,1224.96,0
0136-IFMYD,4,1,0,1,69,0,1,18.41,1,1,17.0,0,1,1,2,1,1,109.95,7634.25,0.0,0,1270.29,8904.54,1
0137-OCGAB,1,0,0,0,1,5,1,1.23,1,1,69.0,0,0,1,1,1,3,80.2,80.2,0.0,0,1.23,81.43,0
0137-UDEUO,1,0,0,0,3,5,1,25.75,0,0,26.189958310676094,0,0,0,1,0,2,19.85,63.75,0.0,0,77.25,141.0,0
0139-IVFJG,1,1,0,10,2,0,1,4.65,1,1,53.0,1,0,1,1,0,1,90.35,190.5,0.0,0,9.3,199.8,2
0141-YEAYS,4,0,0,0,27,0,1,2.97,1,1,4.0,0,0,1,2,1,1,86.45,2401.05,0.0,0,80.19,2481.24,1
0142-GVYSN,3,0,0,0,26,3,1,13.34,0,0,26.189958310676094,0,0,0,1,1,1,20.3,511.25,0.0,0,346.84,858.09,1
0147-ESWWR,4,1,0,9,39,0,1,20.15,1,1,21.0,0,1,1,1,1,1,101.25,3949.15,0.0,0,785.85,4735.0,1
0148-DCDOS,2,0,0,0,25,0,1,34.88,1,1,8.0,0,0,1,1,1,1,94.7,2362.1,0.0,0,872.0,3234.1,0
0151-ONTOV,3,0,0,0,1,5,1,39.81,1,1,23.0,0,0,1,1,0,3,70.9,70.9,0.0,0,39.81,110.71,0
0156-FVPTA,3,1,0,1,22,4,1,27.24,1,2,21.0,1,1,1,1,1,1,54.2,1152.7,0.0,0,599.28,1751.98,0
0164-APGRB,3,0,0,0,72,1,1,48.37,1,1,5.0,1,1,1,2,1,1,114.9,8496.7,0.0,0,3482.64,11979.34,1
0164-XAIRP,3,0,0,0,24,0,1,10.64,0,0,26.189958310676094,0,0,0,2,1,1,19.55,470.2,0.0,0,255.36,725.56,1
0168-XZKBB,2,1,0,8,19,0,1,7.84,1,1,16.0,0,0,1,1,1,1,86.85,1564.4,0.0,0,148.96,1713.36,1
0174-QRVVY,1,1,2,2,71,0,1,9.2,0,0,26.189958310676094,0,0,0,2,0,2,25.35,1847.55,0.0,0,653.2,2500.75,1
0177-PXBAT,5,1,0,7,33,0,1,25.15,1,1,20.0,1,1,1,3,1,1,109.9,3694.7,0.0,0,829.95,4524.65,1
0178-CIIKR,4,0,0,0,3,0,1,2.69,0,0,26.189958310676094,0,0,0,1,0,2,19.95,58.0,0.0,0,8.07,66.07,2
0178-SZBHO,3,1,1,7,47,0,1,1.09,1,1,13.0,0,0,1,1,0,1,87.2,4017.45,0.0,0,51.23,4068.68,1
0181-RITDD,2,1,3,2,62,0,1,1.76,1,1,20.0,1,1,1,2,0,2,108.15,6825.65,0.0,0,109.12,6934.77,1
0186-CAERR,1,0,0,0,71,0,1,2.88,1,1,48.0,1,1,1,3,1,1,116.3,8309.55,0.0,0,204.48,8514.03,1
0187-QSXOE,4,1,0,8,7,0,1,41.97,1,1,11.0,0,0,1,2,1,1,89.0,605.45,0.0,0,293.79,899.24,1
0187-WZNAB,3,1,2,6,27,3,1,46.66,1,1,28.0,1,0,1,1,0,2,74.4,1972.35,0.0,0,1259.82,3232.17,1
0188-GWFLE,2,0,0,0,2,0,1,1.81,0,0,26.189958310676094,0,0,0,1,0,2,20.05,33.7,0.0,0,3.62,37.32,2
0191-EQUUH,2,0,3,0,25,3,0,25.420517214274486,1,3,75.0,1,1,1,2,0,1,35.05,844.45,0.0,0,0.0,844.45,1
0191-ZHSKZ,5,0,0,0,30,0,1,38.61,1,2,5.0,1,0,1,3,1,1,74.75,2111.3,0.0,0,1158.3,3269.6,1
0193-ESZXP,4,1,0,1,58,0,1,16.94,1,1,19.0,1,1,1,3,1,2,105.5,6205.5,0.0,0,982.52,7188.02,0
0195-IESCP,1,1,0,1,10,4,1,2.02,1,1,82.0,0,0,0,1,1,1,85.25,855.3,0.0,100,20.2,975.5,0
0196-JTUQI,4,0,0,0,9,0,1,9.27,1,1,28.0,0,0,1,1,1,2,75.2,633.85,0.0,0,83.43,717.28,1
0196-VULGZ,5,1,0,1,6,0,1,28.71,1,1,17.0,0,0,1,1,1,1,84.35,474.9,0.0,0,172.26,647.16,0
0197-PNKNK,3,1,1,7,69,0,1,38.92,1,1,16.0,1,0,0,3,0,1,84.45,5848.6,0.0,40,2685.48,8574.08,1
0201-MIBOL,4,0,0,0,66,0,1,10.45,1,1,20.0,1,0,1,2,1,1,102.4,6471.85,0.0,0,689.7,7161.55,1
0201-OAMXR,2,0,0,0,70,1,1,10.21,1,1,52.0,1,1,1,3,0,2,115.55,8127.6,0.0,0,714.7,8842.3,0
0203-HHYIJ,4,0,0,0,25,3,1,5.57,0,0,26.189958310676094,0,0,0,3,0,1,25.3,676.35,0.0,0,139.25,815.6,0
0206-OYVOC,3,1,2,1,46,2,1,24.33,0,0,26.189958310676094,0,0,0,2,1,2,19.25,864.2,0.0,0,1119.18,1983.38,1
0206-TBWLC,4,1,0,7,54,2,1,11.4,1,1,26.0,1,1,1,3,1,2,114.65,6049.5,0.0,0,615.6,6665.1,1
0207-MDKNV,3,0,0,0,15,0,1,22.39,1,1,7.0,1,1,1,1,0,1,105.1,1582.75,0.0,0,335.85,1918.6,0
0208-BPQEJ,3,1,1,0,12,4,1,8.25,0,0,26.189958310676094,0,0,0,1,0,1,19.4,198.1,0.0,0,99.0,297.1,1
0212-ISBBF,3,0,0,0,22,0,0,25.420517214274486,1,3,22.0,0,0,1,1,1,1,50.35,1098.85,0.0,0,0.0,1098.85,1
0214-JHPFW,1,1,0,9,70,0,0,25.420517214274486,1,3,85.0,0,1,1,2,0,1,57.8,4039.3,1.01,0,0.0,4038.29,1
0215-BQKGS,3,0,0,0,30,3,1,24.73,1,1,20.0,1,0,0,1,1,2,84.3,2438.6,0.0,130,741.9,3310.5,1
0218-QNVAS,1,1,1,1,71,1,1,28.34,1,1,59.0,0,0,1,3,0,1,100.55,7113.75,16.99,0,2012.14,9108.9,1
0219-QAERP,2,1,0,2,30,0,1,9.81,0,0,26.189958310676094,0,0,0,3,0,2,19.8,576.65,0.0,0,294.3,870.95,1
0219-YTZUE,1,1,0,5,4,5,1,28.77,1,1,19.0,0,0,1,1,1,1,84.8,371.9,0.0,0,115.08,486.98,0
0220-EBGCE,3,0,0,0,2,5,1,14.14,1,1,28.0,0,0,1,1,1,1,85.85,167.3,0.0,0,28.28,195.58,0
0221-NAUXK,1,0,1,0,10,0,1,7.86,0,0,26.189958310676094,0,0,0,3,1,1,19.95,219.5,0.0,0,78.6,298.1,1
0221-WMXNQ,4,0,0,0,4,5,1,36.4,1,1,29.0,1,0,1,3,0,1,75.35,273.4,0.0,0,145.6,419.0,1
0222-CNVPT,4,0,0,0,52,2,0,25.420517214274486,1,2,19.0,1,0,1,2,1,2,48.8,2555.05,0.0,0,0.0,2555.05,1
0224-HJAPT,1,0,0,0,5,0,1,22.01,1,3,85.0,0,0,1,1,0,1,47.15,223.15,0.0,0,110.05,333.2,0
0224-NIJLP,2,1,3,1,8,5,1,2.87,0,0,26.189958310676094,0,0,0,2,0,2,20.15,165.5,0.0,0,22.96,188.46,1
0224-RLWWD,4,0,0,0,2,5,1,23.91,1,3,22.0,0,0,1,3,1,1,44.3,89.3,0.0,0,47.82,137.12,2
0225-ZORZP,3,0,0,0,3,5,1,13.72,1,1,26.0,0,0,1,1,0,1,84.3,235.05,0.0,0,41.16,276.21,2
0228-MAUWC,2,0,0,0,19,4,1,11.85,1,2,18.0,0,1,1,1,0,1,59.55,1144.6,0.0,0,225.15,1369.75,1
0229-LFJAF,3,0,0,0,72,1,1,3.66,1,2,13.0,1,1,1,2,0,1,69.65,4908.25,0.0,0,263.52,5171.77,1
0230-UBYPQ,4,1,0,2,63,2,0,25.420517214274486,1,2,7.0,1,1,1,3,0,1,36.1,2298.9,0.0,0,0.0,2298.9,1
0230-WEQUW,2,1,0,1,66,0,0,25.420517214274486,1,2,29.0,1,1,1,2,1,1,56.6,3789.2,0.0,0,0.0,3789.2,1
0231-LXVAP,1,0,0,0,1,0,1,44.56,1,1,27.0,0,1,1,1,1,1,75.9,75.9,0.0,0,44.56,120.46,0
0233-FTHAV,1,0,0,0,60,0,1,15.29,1,1,48.0,0,0,1,3,1,1,79.2,4765.0,0.0,0,917.4,5682.4,1
0234-TEVTT,3,1,3,3,48,0,0,25.420517214274486,1,2,22.0,1,0,1,3,0,2,45.0,2196.3,0.0,0,0.0,2196.3,1
0235-KGSLC,3,0,0,0,1,5,1,33.34,1,1,4.0,0,0,1,1,1,2,85.55,85.55,0.0,0,33.34,118.89,0
0236-HFWSV,3,0,0,0,15,0,1,48.93,1,1,15.0,0,0,1,1,1,1,93.35,1444.65,0.0,0,733.95,2178.6,0
0237-YFUTL,4,1,0,4,50,2,1,34.57,1,1,13.0,1,1,1,1,1,1,109.65,5405.8,0.0,0,1728.5,7134.3,1
0238-WHBIQ,1,1,1,10,72,1,1,33.75,1,3,30.0,1,1,1,2,0,2,89.7,6339.3,0.0,0,2430.0,8769.3,1
0239-OXEXL,2,0,0,0,46,0,1,43.27,1,1,21.0,1,0,0,1,0,2,84.25,3847.6,0.0,100,1990.42,5938.02,1
0244-LGNFY,2,1,1,4,72,0,1,30.0,1,2,19.0,1,1,1,2,0,1,92.65,6733.0,0.0,0,2160.0,8893.0,1
0247-SLUJI,2,1,3,2,1,0,1,34.28,0,0,26.189958310676094,0,0,0,1,0,2,19.7,19.7,0.0,0,34.28,53.98,2
0248-IPDFW,1,0,0,0,1,0,1,29.13,1,3,51.0,0,0,1,1,1,1,50.1,50.1,0.0,0,29.13,79.23,2
0248-PGHBZ,4,0,0,0,67,1,1,2.57,1,1,21.0,1,1,1,2,1,1,92.45,6140.85,0.0,0,172.19,6313.04,1
0253-ZTEOB,3,1,1,5,48,0,1,8.94,1,2,27.0,0,1,1,2,0,1,79.65,3870.3,0.0,0,429.12,4299.42,1
0254-FNMCI,1,0,0,0,72,0,1,41.91,1,1,73.0,1,1,1,2,1,1,109.9,7624.2,0.0,0,3017.52,10641.72,1
0254-KCJGT,4,1,0,6,52,2,1,41.34,1,3,24.0,1,1,1,3,1,2,81.4,4354.45,0.0,0,2149.68,6504.13,1
0254-WWRKD,3,1,3,1,67,1,1,46.9,1,3,28.0,0,0,1,3,0,2,50.55,3431.75,0.0,0,3142.3,6574.05,1
0256-LTHVJ,3,1,0,1,28,3,1,16.85,1,1,13.0,0,0,1,1,1,1,81.05,2227.1,0.0,0,471.8,2698.9,0
0257-KXZGU,2,1,1,9,32,3,1,33.28,1,2,51.0,0,0,1,1,0,1,62.45,2045.55,0.0,0,1064.96,3110.51,1
0257-ZESQC,5,1,0,2,27,0,1,7.02,1,3,25.0,1,0,1,1,1,1,75.2,1929.35,0.0,0,189.54,2118.89,0
0258-NOKBL,1,0,0,0,3,0,1,31.48,1,1,73.0,0,0,1,1,0,1,90.4,268.45,0.0,0,94.44,362.89,2
0259-GBZSH,1,0,0,0,2,5,1,40.43,1,3,27.0,0,0,1,1,1,1,85.65,181.5,0.0,0,80.86,262.36,0
0260-ZDLGK,3,0,2,0,9,0,1,35.49,1,3,11.0,0,1,1,1,1,2,72.9,651.4,0.0,0,319.41,970.81,0
0263-FJTQO,3,1,2,10,50,2,1,44.49,1,3,28.0,1,1,1,2,1,2,70.5,3486.65,0.0,0,2224.5,5711.15,1
0264-CNITK,3,1,2,1,71,0,1,31.03,0,0,26.189958310676094,0,0,0,2,0,1,20.1,1389.6,0.0,0,2203.13,3592.73,1
0265-EDXBD,4,1,0,2,32,3,1,47.34,1,1,10.0,0,0,1,1,1,1,74.9,2303.35,0.0,0,1514.88,3818.23,0
0265-PSUAE,3,1,3,10,16,4,1,27.27,1,1,76.0,1,0,1,1,0,1,100.7,1522.7,0.0,0,436.32,1959.02,1
0266-CLZKZ,3,1,3,8,67,1,1,17.79,1,1,22.0,0,1,1,2,1,1,105.65,6717.9,0.0,0,1191.93,7909.83,1
0266-GMEAO,3,1,1,1,72,0,1,15.94,1,1,13.0,1,1,1,2,1,2,114.3,8058.55,0.0,0,1147.68,9206.23,1
0268-QKIWO,2,0,0,0,3,5,1,24.63,0,0,26.189958310676094,0,0,0,1,0,1,19.75,58.85,0.0,0,73.89,132.74,0
0269-XFESX,1,1,3,1,23,0,1,48.02,0,0,26.189958310676094,0,0,0,3,0,2,24.35,538.5,0.0,0,1104.46,1642.96,1
0270-THENM,4,1,2,1,72,0,1,28.37,1,2,18.0,1,1,1,2,0,1,69.85,5102.35,25.24,0,2042.64,7119.75,1
0274-JKUJR,1,1,2,9,7,5,0,25.420517214274486,1,3,47.0,1,0,1,1,0,2,-3.0,465.7,0.0,0,0.0,465.7,1
0277-BKSQP,3,1,3,10,8,5,1,1.56,1,2,57.0,0,0,1,1,1,1,54.4,475.1,0.0,0,12.48,487.58,1
0277-ORXQS,2,1,4,9,66,1,0,25.420517214274486,1,3,23.0,0,1,0,2,0,1,50.55,3364.55,0.0,110,0.0,3474.55,1
0278-YXOOG,2,0,0,0,5,5,1,34.26,0,0,26.189958310676094,0,0,0,1,0,2,21.05,113.85,0.0,0,171.3,285.15,0
0280-XJGEX,2,0,1,0,49,0,1,44.33,1,1,11.0,0,0,1,1,1,1,103.7,5036.3,0.0,0,2172.17,7208.47,0
0281-CNTZX,3,1,0,2,63,2,1,38.36,0,0,26.189958310676094,0,0,0,2,1,1,19.95,1234.8,0.0,0,2416.68,3651.48,1
0282-NVSJS,4,1,1,1,12,4,0,25.420517214274486,1,2,14.0,0,1,1,1,1,3,29.3,355.9,0.0,0,0.0,355.9,1
0285-INHLN,3,1,6,5,27,0,1,36.19,1,2,53.0,1,0,1,1,1,2,54.75,1510.3,0.0,0,977.13,2487.43,1
0289-IVARM,3,0,0,0,35,0,1,44.81,1,2,20.0,1,0,1,1,0,1,60.55,1982.6,0.0,0,1568.35,3550.95,1
0292-WEGCH,2,1,2,7,54,2,1,4.33,1,2,12.0,0,1,1,1,1,1,86.2,4524.05,0.0,0,233.82,4757.87,1
0295-PPHDO,3,0,0,0,1,0,1,5.59,1,1,2.0,0,0,1,1,1,1,95.45,95.45,0.0,0,5.59,101.04,0
0295-QVKPB,2,0,0,0,5,5,1,13.96,1,2,5.0,0,1,1,1,1,2,63.95,318.1,0.0,0,69.8,387.9,1
0297-RBCSG,4,0,0,0,19,0,1,41.79,1,2,6.0,0,1,0,3,1,1,65.35,1231.85,0.0,60,794.01,2085.86,1
0298-XACET,2,1,2,1,52,0,0,25.420517214274486,1,2,17.0,0,1,1,2,0,2,50.2,2554.0,27.01,0,0.0,2526.99,1
